Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
12,"KE Young, SC Reed","Spectrally monitoring the response of the biocrust moss Syntrichia caninervis to altered precipitation regimes",2017,"Scientific Reports","nature.com","https://www.nature.com/articles/srep41793","https://scholar.google.com/scholar?cites=6018657506728130655&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 10:52:07","HTML","","","",,,,,12,1.71,6,2,7,"… attributed to the spectral reflectance of hydrated biocrust organisms … Additionally, the reflectance spectroscopy of biocrusts has … mapping indices and reflectance spectroscopy, noticeably …","https://www.nature.com/articles/srep41793","https://scholar.google.com/scholar?q=related:X7hEOR2RhlMJ:scholar.google.com/&scioq=syntrichia+reflectance&hl=en&as_sdt=2007"
41,"N Wu, Y Zhang, A Downing, ZT Aanderud…","Rapid adjustment of leaf angle explains how the desert moss, Syntrichia caninervis, copes with multiple resource limitations during rehydration",2013,"Functional Plant …","CSIRO Publishing","https://www.publish.csiro.au/FP/FP13054","https://scholar.google.com/scholar?cites=18417215860785002735&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 10:52:07","","","","",,,,,41,3.73,8,5,11,"Although the desert moss Syntrichia caninervis Mitt. is extremely desiccation tolerant, it still requires water and photosynthates for growth. The ecological significance of the leaf angle in …","http://www.egi.cas.cn/xwdt/kydt_163364/202001/W020200131553456001888.pdf","https://scholar.google.com/scholar?q=related:77jHLT8Yl_8J:scholar.google.com/&scioq=syntrichia+reflectance&hl=en&as_sdt=2007"
48,"J Zhang, YM Zhang, A Downing, N Wu, BC Zhang","Photosynthetic and cytological recovery on remoistening Syntrichia caninervis Mitt., a desiccation-tolerant moss from Northwestern China",2011,"Photosynthetica","Springer","https://link.springer.com/article/10.1007/s11099-011-0002-6","https://scholar.google.com/scholar?cites=6993901750186355061&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 10:52:07","","10.1007/s11099-011-0002-6","","",,,,,48,3.69,10,5,13,"… Syntrichia caninervis Mitt. is the dominant species in the moss crusts of the Gurbantunggut … Relating photosynthesis of biological soil crusts with reflectance: preliminary assessment …","https://link.springer.com/content/pdf/10.1007/s11099-011-0002-6.pdf","https://scholar.google.com/scholar?q=related:dSnXJZZUD2EJ:scholar.google.com/&scioq=syntrichia+reflectance&hl=en&as_sdt=2007"
27,"Y Li, Z Wang, T Xu, W Tu, C Liu, Y Zhang…","Reorganization of photosystem II is involved in the rapid photosynthetic recovery of desert moss Syntrichia caninervis upon rehydration",2010,"Journal of plant …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161710003536","https://scholar.google.com/scholar?cites=14628052987935942551&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 10:52:07","","","","",,,,,27,1.93,4,7,14,"… In this study, we chose the moss Syntrichia caninervis, one of the dominant species in biological soil crusts of the Gurbantunggut Desert in northwest China, as the material to …","","https://scholar.google.com/scholar?q=related:l2eDlbBIAcsJ:scholar.google.com/&scioq=syntrichia+reflectance&hl=en&as_sdt=2007"
0,"TA Clark, A Russell, JL Greenwood, D Devitt, D Stanton…","Can biocrust moss hide from climate change? Multiscale habitat buffering improves summer-stress resistance in Syntrichia caninervis",2023,"bioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2023.11.06.565694.abstract","",5,"2024-07-15 10:52:07","","10.1101/2023.11.06.565694.abstract","","",,,,,0,0.00,0,6,1,"… Methods: We located three life zone populations of a keystone biocrust moss, Syntrichia caninervis, spanning 1200-m of altitude in Nevada. We selected 96 microsites stratified by life …","https://www.biorxiv.org/content/biorxiv/early/2023/11/06/2023.11.06.565694.full.pdf","https://scholar.google.com/scholar?q=related:wzKufmKqsNMJ:scholar.google.com/&scioq=syntrichia+reflectance&hl=en&as_sdt=2007"
19,"LR Stark, JL Greenwood, ML Slate, JC Brinda","Syntrichia norvegica shoots exhibit a complex inducible response to desiccation: separating the effects of rate of drying and water content",2017,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjb-2016-0263","https://scholar.google.com/scholar?cites=9798450045631876883&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 10:52:07","","10.1139/cjb-2016-0263","","",,,,,19,2.71,5,4,7,"… We approach the standing hypothesis that Syntrichia species are constitutively desiccation tolerant (incapable of dehardening) by assessing how shoots of Syntrichia norvegica F.Weber…","https://cdnsciencepub.com/doi/pdf/10.1139/cjb-2016-0263","https://scholar.google.com/scholar?q=related:E09M72YW-4cJ:scholar.google.com/&scioq=syntrichia+reflectance&hl=en&as_sdt=2007"
6,"A Orekhova, M Barták, J Hájek, J Morkusová","Species-specific responses of spectral reflectance and the photosynthetic characteristics in two selected Antarctic mosses to thallus desiccation",2022,"Acta Physiologiae …","Springer","https://link.springer.com/article/10.1007/s11738-021-03339-6","https://scholar.google.com/scholar?cites=14425596763835175433&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-15 10:52:07","","10.1007/s11738-021-03339-6","","",,,,,6,3.00,2,4,2,"… well as the spectral reflectance parameters during controlled … Spectral reflectance indices responded to desiccation either (… modified chlorophyll absorption in reflectance index [MCARI] …","https://scholar.google.com/scholar?output=instlink&q=info:CZJrndMDMsgJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=7618806529481166388&oi=lle","https://scholar.google.com/scholar?q=related:CZJrndMDMsgJ:scholar.google.com/&scioq=syntrichia+reflectance&hl=en&as_sdt=2007"
16,"JTB Ekwealor, KM Fisher","Life under quartz: Hypolithic mosses in the Mojave Desert",2020,"PLoS One","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0235928","https://scholar.google.com/scholar?cites=14928720325748873889&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 10:52:07","HTML","","","",,,,,16,4.00,8,2,4,"… Some of the most desiccation tolerant plants are species in the genus Syntrichia, which represent dominant members of Mojave Desert biocrust communities. However, even within …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0235928","https://scholar.google.com/scholar?q=related:oVpqXwp4Lc8J:scholar.google.com/&scioq=syntrichia+reflectance&hl=en&as_sdt=2007"
0,"AF Clements","Testing Functional Variation in Thermal Properties for Antarctic Mosses",2021,"","search.proquest.com","https://search.proquest.com/openview/0d33003b732072e2131c0260ab3e8af0/1?pq-origsite=gscholar&cbl=18750&diss=y","",9,"2024-07-15 10:52:07","HTML","","","",,,,,0,0.00,0,1,3,"… Chorisodontium aciphyllum consistently had the greatest thermal conductivity and water retention, Sanionia georgicouncinata and Syntrichia filaris both showed a mid-level thermal …","https://search.proquest.com/openview/0d33003b732072e2131c0260ab3e8af0/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:GQxlvcP9ROcJ:scholar.google.com/&scioq=syntrichia+reflectance&hl=en&as_sdt=2007"
0,"A Puhovkin, J Smykla, P Váczi, I Parnikoza","Spectral characteristics of bryophyte carpet and mat subformation showing a vitality-dependent color pattern: Comparison for two distant regions of maritime Antarctica",2023,"Czech Polar Reports","journals.muni.cz","https://journals.muni.cz/CPR/article/view/37052","",10,"2024-07-15 10:52:07","","","","",,,,,0,0.00,0,4,1,"… : (1) What spectral reflectance indices can be applied to diferentiate between vigorous (green) and less vigorous (brown) mosses? (2) Wether spectral reflectance indices for the same …","https://journals.muni.cz/CPR/article/download/37052/31814","https://scholar.google.com/scholar?q=related:EN1WraSFJMgJ:scholar.google.com/&scioq=syntrichia+reflectance&hl=en&as_sdt=2007"
