Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
5,"MT Gallego, MJ Cano, JA Jiménez, J Guerra","Circumscription and Phylogenetic Position of Two Propagulose Species of Syntrichia (Pottiaceae, Bryophyta) Reveals Minor Realignments within the Tribe …",2022,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/11/5/626","https://scholar.google.com/scholar?cites=10692842233591179703&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 11:14:30","HTML","","","",,,,,5,2.50,1,4,2,"… Our results placed Syntrichia amphidiacea in the Streptopogon clade. … as distinctive generic characters in Syntrichia. Additionally, we include Syntrichia percarnosa as a new synonym …","https://www.mdpi.com/2223-7747/11/5/626","https://scholar.google.com/scholar?q=related:tyl_vFubZJQJ:scholar.google.com/&scioq=syntrichia+rhizoid&hl=en&as_sdt=2007"
9,"X Liu, P Zhou, X Li, D Zhang","Propagation of desert moss Syntrichia caninervis in peat pellet: a method for rapidly obtaining large numbers of cloned gametophytes",2021,"Plant Methods","Springer","https://link.springer.com/article/10.1186/s13007-021-00740-7","https://scholar.google.com/scholar?cites=4609564690682789364&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 11:14:30","HTML","10.1186/s13007-021-00740-7","","",,,,,9,3.00,2,4,3,"… type when rhizoids were used as explants, and only rare rhizoids … or rhizoids in peat pellet after half a month as day/night temperature were set at 25/15 C. We first found that the rhizoid …","https://link.springer.com/article/10.1186/s13007-021-00740-7","https://scholar.google.com/scholar?q=related:9L1U5al2-D8J:scholar.google.com/&scioq=syntrichia+rhizoid&hl=en&as_sdt=2007"
3,"MT Gallego, MJ Cano, J Larraín, J Guerra","Syntrichia lamellaris MTGallego, MJCano &Larraín (Pottiaceae), a new moss species from Chilean Patagonia",2020,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/03736687.2019.1706036","https://scholar.google.com/scholar?cites=8025370103429028850&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 11:14:30","","10.1080/03736687.2019.1706036","","",,,,,3,0.75,1,4,4,"Introduction. While revising material of South American Syntrichia for a worldwide revision of the genus, one specimen collected in Aysén (Chile) did not match the concept of any of the …","","https://scholar.google.com/scholar?q=related:8lvtvZbXX28J:scholar.google.com/&scioq=syntrichia+rhizoid&hl=en&as_sdt=2007"
13,"MT Gallego, MJ Cano, JF Jiménez…","Morphological and molecular data support a new combination in the Neotropical complex of cucullate-leaved species of Syntrichia (Pottiaceae)",2014,"Systematic …","ingentaconnect.com","https://www.ingentaconnect.com/content/aspt/sb/2014/00000039/00000002/art00001","https://scholar.google.com/scholar?cites=12953857807063044232&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 11:14:30","","","","",,,,,13,1.30,3,4,10,"… During ongoing taxonomic studies of the South American species of Syntrichia, we had the opportunity to examine two significant collections of S. kingii: the first from Huehuetenango, …","https://www.jstor.org/stable/pdf/24546145.pdf","https://scholar.google.com/scholar?q=related:iNDpBAtZxbMJ:scholar.google.com/&scioq=syntrichia+rhizoid&hl=en&as_sdt=2007"
2,"M Teresa Gallego, MJ Cano","Syntrichia splendida MTGallego &MJCano (Pottiaceae), a new moss species from northern Chile",2021,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/03736687.2021.1927655","https://scholar.google.com/scholar?cites=18369361878310728662&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 11:14:30","","10.1080/03736687.2021.1927655","","",,,,,2,0.67,1,2,3,"… While studying material of South American Syntrichia for a worldwide revision of the genus, … We present our argument for recognising this specimen of a South American Syntrichia from …","","https://scholar.google.com/scholar?q=related:1jNQo00V7f4J:scholar.google.com/&scioq=syntrichia+rhizoid&hl=en&as_sdt=2007"
2,"KM Kellman","Syntrichia sucrosa sp. nov.(Pottiaceae), a new species from California",2008,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-111/issue-4/0007-2745-111.4.676/span-classgenus-speciesSyntrichia-Sucrosa-span-Sp-Nov-Pottiaceae-A-New/10.1639/0007-2745-111.4.676.short","https://scholar.google.com/scholar?cites=2810889613679905562&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 11:14:30","","10.1639/0007-2745-111.4.676.short","","",,,,,2,0.13,2,1,16,"Syntrichia sucrosa is described and illustrated as a new species from California. It is characterized by 1–4, pedicellate, bifurcate or stellate-branched papillae per cell, upper laminal …","https://www.jstor.org/stable/pdf/20485761.pdf","https://scholar.google.com/scholar?q=related:Gss5_jVJAicJ:scholar.google.com/&scioq=syntrichia+rhizoid&hl=en&as_sdt=2007"
29,"Y Zheng, M Xu, J Zhao, B Zhang, S Bei…","Morphological Adaptations to Drought and Reproductive Strategy of the Moss Syntrichia caninervis in the Gurbantunggut Desert, China",2011,"Arid Land Research and …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/15324982.2011.554956","https://scholar.google.com/scholar?cites=1511652627192884498&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-15 11:14:30","","10.1080/15324982.2011.554956","","",,,,,29,2.23,5,6,13,"… The chloronema cells were formed from leaf costa and rhizoid and extended to filaments … began specialization with some organs developing to rhizoids and others to buds (Figure 5k – …","","https://scholar.google.com/scholar?q=related:Ei2eKw54-hQJ:scholar.google.com/&scioq=syntrichia+rhizoid&hl=en&as_sdt=2007"
0,"U AL","Gemmae in Conocephallum japonicum (Thunb.) Grolle (Conocephalceae) and Anthoceros angustus Steph.(Anthocerotaceae) from Nagaland, North-East India",,"academia.edu","","https://www.academia.edu/download/90081995/15_20s_20k_20chaturvdi.pdf","",8,"2024-07-15 11:14:30","PDF","","","",,,,,0,0.00,0,1,,"… tenellum, and Syntrichia latifolia. Regeneration by buds from gemmae. In leafy … Tubers are longRhizoidal gemmae originate from subterranean rhizoids … Rhizoid gemmae are part of the …","https://www.academia.edu/download/90081995/15_20s_20k_20chaturvdi.pdf","https://scholar.google.com/scholar?q=related:q7ryPneeAhIJ:scholar.google.com/&scioq=syntrichia+rhizoid&hl=en&as_sdt=2007"
11,"MT Gallego, V Hugonnot, MJ Cano","Taxonomic resurrection of an awnless variety of Syntrichia ruralis and comparison with other European muticous taxa in this genus",2018,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/03736687.2018.1468971","https://scholar.google.com/scholar?cites=3381231979591901576&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-15 11:14:30","","10.1080/03736687.2018.1468971","","",,,,,11,1.83,4,3,6,"… As with practically all species of Syntrichia it had been placed … Syntrichia montana was typified and accepted as Syntrichia … into Syntrichia at an infraspecific level as Syntrichia montana …","https://www.researchgate.net/profile/Vincent-Hugonnot/publication/325277049_Taxonomic_resurrection_of_an_awnless_variety_of_Syntrichia_ruralis_and_comparison_with_other_European_muticous_taxa_in_this_genus/links/5b03e45da6fdccf9e4f7c56b/Taxonomic-resurrection-of-an-awnless-variety-of-Syntrichia-ruralis-and-comparison-with-other-European-muticous-taxa-in-this-genus.pdf","https://scholar.google.com/scholar?q=related:iCHEJpKM7C4J:scholar.google.com/&scioq=syntrichia+rhizoid&hl=en&as_sdt=2007"
2,"J Jauregui-Lazo, M Wilson, BD Mishler","The dynamics of external water conduction in the dryland moss Syntrichia",2023,"AoB Plants","academic.oup.com","https://academic.oup.com/aobpla/article-abstract/15/3/plad025/7175598","https://scholar.google.com/scholar?cites=6222238552772280080&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-15 11:14:30","","","","",,,,,2,2.00,1,3,1,"… in Syntrichia, but the … Syntrichia species. We also measured hydration/dehydration curves to understand the rate of conduction and dehydration by experimental approaches. Syntrichia …","https://academic.oup.com/aobpla/article/15/3/plad025/7175598","https://scholar.google.com/scholar?q=related:EH-7Nf_UWVYJ:scholar.google.com/&scioq=syntrichia+rhizoid&hl=en&as_sdt=2007"
10,"MS Ignatov, EA Ignatova, SA Suragina","A new variety of Syntrichia caninervis (Pottiaceae, Musci)",2002,"Arctoa","elibrary.ru","https://elibrary.ru/item.asp?id=25619067","https://scholar.google.com/scholar?cites=15304874325263663098&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-15 11:14:30","","","","",,,,,10,0.45,3,3,22,"… search of any report of long-stalked gemmae in Syntrichia in … variety: Syntrichia caninervis var. astrakhanica var. nov. … , loosely foliate, at base with long rhizoids, and in plants with many …","","https://scholar.google.com/scholar?q=related:-j9WMRzWZdQJ:scholar.google.com/&scioq=syntrichia+rhizoid&hl=en&as_sdt=2007"
26,"R Ochyra, RH Zander, M Lebouvier","Antipodal mosses: XVIII. Syntrichia christophei (Pottiaceae), a new species from subantarctic Îles Kerguelen",2014,"Cryptogamie, Bryologie","BioOne","https://bioone.org/journals/Cryptogamie-Bryologie/volume-35/issue-1/cryb.v35.iss1.2014.37/Antipodal-Mosses--XVIII-Syntrichia-christophei-Pottiaceae-a-New-Species/10.7872/cryb.v35.iss1.2014.37.short","https://scholar.google.com/scholar?cites=9213288613191767155&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-15 11:14:30","","10.7872/cryb.v35.iss1.2014.37.short","","",,,,,26,2.60,9,3,10,"… However, herein we describe a new species of the genus Syntrichia Brid. that evidently does not fit any known species of this genus. It is with pleasure that we name it S. …","https://www.researchgate.net/profile/Richard-Zander/publication/271241122_Antipodal_Mosses_XVIII_Syntrichia_christophei_Pottiaceae_a_New_Species_from_Subantarctic_Iles_Kerguelen/links/550f00190cf21287416afdd7/Antipodal-Mosses-XVIII-Syntrichia-christophei-Pottiaceae-a-New-Species-from-Subantarctic-Iles-Kerguelen.pdf","https://scholar.google.com/scholar?q=related:c1Ry-i0t3H8J:scholar.google.com/&scioq=syntrichia+rhizoid&hl=en&as_sdt=2007"
46,"LR Stark","Phenology and reproductive biology of Syntrichia inermis (Bryopsida, Pottiaceae) in the Mojave Desert",1997,"Bryologist","JSTOR","https://www.jstor.org/stable/3244383","https://scholar.google.com/scholar?cites=618769928401853851&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-15 11:14:30","","","","",,,,,46,1.70,46,1,27,"… First, the felt rhizoids along the surface of stems may assist the … the summer dormancy in Syntrichia. Thus the sporophytes of T… In the American Southwest, species of Syntrichia generally …","https://www.jstor.org/stable/pdf/3244383.pdf","https://scholar.google.com/scholar?q=related:mx0WtPhPlggJ:scholar.google.com/&scioq=syntrichia+rhizoid&hl=en&as_sdt=2007"
16,"MT Gallego, MJ Cano","Syntrichia boliviana (Pottiaceae, Bryophyta), a new species from the tropical Andes",2009,"Systematic Botany","ingentaconnect.com","https://www.ingentaconnect.com/content/aspt/sb/2009/00000034/00000002/art00001","https://scholar.google.com/scholar?cites=10905936816869421468&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-15 11:14:30","","","","",,,,,16,1.07,8,2,15,"… During ongoing studies toward a revision of Syntrichia in South America, we found a peculiar specimen of uncertain affinity at the La Paz National Bolivian Herbarium (LPB) which was …","https://www.jstor.org/stable/pdf/40211888.pdf","https://scholar.google.com/scholar?q=related:nDFbuMCrWZcJ:scholar.google.com/&scioq=syntrichia+rhizoid&hl=en&as_sdt=2007"
