Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
27,"Y Li, Z Wang, T Xu, W Tu, C Liu, Y Zhang…","Reorganization of photosystem II is involved in the rapid photosynthetic recovery of desert moss Syntrichia caninervis upon rehydration",2010,"Journal of plant …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161710003536","https://scholar.google.com/scholar?cites=14628052987935942551&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 09:03:32","","","","",,,,,27,1.93,4,7,14,"… In this study, we chose the moss Syntrichia caninervis, one of the dominant species in biological soil crusts of the Gurbantunggut Desert in northwest China, as the material to …","","https://scholar.google.com/scholar?q=related:l2eDlbBIAcsJ:scholar.google.com/&scioq=syntrichia+rubisco&hl=en&as_sdt=2007"
19,"KK Coe, J Belnap, EE Grote…","Physiological ecology of desert biocrust moss following 10 years exposure to elevated CO2: evidence for enhanced photosynthetic thermotolerance",2012,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.2012.01566.x","https://scholar.google.com/scholar?cites=13693198155242934900&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 09:03:32","","10.1111/j.1399-3054.2012.01566.x","","",,,,,19,1.58,5,4,12,"… CO 2 exposure on the common desert moss Syntrichia caninervis (Mitten) collected from the … RUBP through the Calvin cycle or as the activity of Rubisco). In this study, differences in the …","https://www.academia.edu/download/43409585/Physiological_ecology_of_desert_biocrust20160305-9576-1lomccx.pdf","https://scholar.google.com/scholar?q=related:dBJKKiwDCL4J:scholar.google.com/&scioq=syntrichia+rubisco&hl=en&as_sdt=2007"
9,"R Yang, X Li, Q Yang, M Zhao, W Bai, Y Liang…","Transcriptional profiling analysis providing insights into desiccation tolerance mechanisms of the desert moss Syntrichia caninervis",2023,"Frontiers in Plant …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2023.1127541/full","https://scholar.google.com/scholar?cites=11605231505773335624&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 09:03:32","HTML","10.3389/fpls.2023.1127541","","",,,,,9,9.00,1,7,1,"Syntrichia caninervis is a desiccation tolerant moss and is the dominant bryophyte found in biological soil crusts in the Gurbantunggut desert. In this study, we assessed the …","https://www.frontiersin.org/articles/10.3389/fpls.2023.1127541/full","https://scholar.google.com/scholar?q=related:SJTKPZEQDqEJ:scholar.google.com/&scioq=syntrichia+rubisco&hl=en&as_sdt=2007"
2,"JTB Ekwealor, BD Mishler","Transcriptomic Effects of Acute Ultraviolet Radiation Exposure on Two Syntrichia Mosses",2021,"Frontiers in Plant Science","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2021.752913/full","https://scholar.google.com/scholar?cites=7935188985953207674&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 09:03:32","HTML","10.3389/fpls.2021.752913","","",,,,,2,0.67,1,2,3,"… Here we investigated genetic responses to acute broadband UVR exposure in the highly desiccation-tolerant mosses Syntrichia caninervis and Syntrichia ruralis, using a comparative …","https://www.frontiersin.org/articles/10.3389/fpls.2021.752913/full","https://scholar.google.com/scholar?q=related:ekVVHVd0H24J:scholar.google.com/&scioq=syntrichia+rubisco&hl=en&as_sdt=2007"
0,"F Lei, Y Liang, R Yang, Q Yang, W Bai, F Yin…","ScbZIP1 positively regulates desiccation tolerance of desert moss Syntrichia caninervis by ROS scavenging and photosynthesis pathways",2024,"Environmental and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0098847224001758","",5,"2024-07-15 09:03:32","","","","",,,,,0,0.00,0,7,1,"… In this study, we isolated and functionally characterized the ScbZIP1 gene from the DT model moss Syntrichia caninervis, which encodes an abiotic stress-inducible of S group bZIP TF. …","","https://scholar.google.com/scholar?q=related:0s9wj1rZbtIJ:scholar.google.com/&scioq=syntrichia+rubisco&hl=en&as_sdt=2007"
16,"J Royles, J Ogée, L Wingate, DA Hodgson…","Temporal separation between CO2 assimilation and growth? Experimental and theoretical evidence from the desiccation‐tolerant moss Syntrichia ruralis",2013,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.12114","https://scholar.google.com/scholar?cites=11523071560072252897&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 09:03:32","","10.1111/nph.12114","","",,,,,16,1.45,3,5,11,"… during CO 2 fixation by the photosynthetic carboxylase enzyme RuBisCO, c. 29‰ in C 3 plants … The aim of this study was to interpret δ 13 C C and δ 18 O C values from Syntrichia ruralis …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.12114","https://scholar.google.com/scholar?q=related:4U2DM4gs6p8J:scholar.google.com/&scioq=syntrichia+rubisco&hl=en&as_sdt=2007"
36,"LR Stark, JC Brinda…","Extended Periods of Hydration Do Not Elicit Dehardening to Desiccation Tolerance in Regeneration Trials of the Moss Syntrichia caninervis",2012,"… Journal of Plant …","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/663970","https://scholar.google.com/scholar?cites=13524137112453857687&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-15 09:03:32","","10.1086/663970","","",,,,,36,3.00,12,3,12,"Dehardening (deacclimation) to water stress is an integral phase of desiccation tolerance (DT) in bryophytes. Shoots of the desert moss Syntrichia caninervis were harvested and …","https://www.journals.uchicago.edu/doi/full/10.1086/663970","https://scholar.google.com/scholar?q=related:l0F9wQxjr7sJ:scholar.google.com/&scioq=syntrichia+rubisco&hl=en&as_sdt=2007"
12,"KE Young, SC Reed","Spectrally monitoring the response of the biocrust moss Syntrichia caninervis to altered precipitation regimes",2017,"Scientific Reports","nature.com","https://www.nature.com/articles/srep41793","https://scholar.google.com/scholar?cites=6018657506728130655&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 09:03:32","HTML","","","",,,,,12,1.71,6,2,7,"… To address this critical limitation, we subjected a dominant biocrust species Syntrichia caninervis to climate-induced stress in the form of small, frequent watering events, and spectrally …","https://www.nature.com/articles/srep41793","https://scholar.google.com/scholar?q=related:X7hEOR2RhlMJ:scholar.google.com/&scioq=syntrichia+rubisco&hl=en&as_sdt=2007"
0,"K Coe","Physiological Ecology Of Biocrust Mosses Under Global Change: Implications For Dryland Biogeochemistry",2012,"","ecommons.cornell.edu","https://ecommons.cornell.edu/bitstream/1813/31079/1/kkc32.pdf","",9,"2024-07-15 09:03:32","PDF","","","",,,,,0,0.00,0,1,12,"… Rainfall event magnitude is one of the largest determinants of carbon balance in the common biocrust species Syntrichia caninervis, because increased rainfall amounts result in shoots …","https://ecommons.cornell.edu/bitstream/1813/31079/1/kkc32.pdf","https://scholar.google.com/scholar?q=related:T95jGS50f5gJ:scholar.google.com/&scioq=syntrichia+rubisco&hl=en&as_sdt=2007"
0,"Q Zeng","Regulation of gene expression in the desiccation-tolerant moss Syntrichia ruralis: A study using the early light inducible protein-like genes ELIPa and ELIPb …",2001,"","search.proquest.com","https://search.proquest.com/openview/44a91f68ef387fe2a52d61f74af71de7/1?pq-origsite=gscholar&cbl=18750&diss=y","",10,"2024-07-15 09:03:32","BOOK","","","",,,,,0,0.00,0,1,23,"Syntrichia ruralis (Hedw.) F. Weber &D. Mohr (Tortula ruralis) is a useful model system for the study of gene control in response to severe water deficit-stress. Two truncated cDNAs (…","https://search.proquest.com/openview/44a91f68ef387fe2a52d61f74af71de7/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:RBuUiYTV-BkJ:scholar.google.com/&scioq=syntrichia+rubisco&hl=en&as_sdt=2007"
