Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"J Jauregui-Lazo, M Wilson, BD Mishler","The dynamics of external water conduction in the dryland moss Syntrichia",2023,"AoB Plants","academic.oup.com","https://academic.oup.com/aobpla/article-abstract/15/3/plad025/7175598","https://scholar.google.com/scholar?cites=6222238552772280080&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 10:55:45","","","","",,,,,2,2.00,1,3,1,"… of 20–25 stems scattered around with minimal proximity when hydrated, and Density three (Clump 3) consisted of 10 stems per 10 mm 2 scattered with no stems touching when fully …","https://academic.oup.com/aobpla/article/15/3/plad025/7175598","https://scholar.google.com/scholar?q=related:EH-7Nf_UWVYJ:scholar.google.com/&scioq=syntrichia+scattering&hl=en&as_sdt=2007"
8,"J Jauregui‐Lazo, JC Brinda…","The phylogeny of Syntrichia: An ecologically diverse clade of mosses with an origin in South America",2023,"American Journal of …","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.16103","https://scholar.google.com/scholar?cites=2347959301087731262&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 10:55:45","","10.1002/ajb2.16103","","",,,,,8,8.00,3,3,1,"Premise To address the biodiversity crisis, we need to understand the evolution of all organisms and how they fill geographic and ecological space. Syntrichia is one of the most diverse …","https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.1002/ajb2.16103","https://scholar.google.com/scholar?q=related:Pp5oWIuglSAJ:scholar.google.com/&scioq=syntrichia+scattering&hl=en&as_sdt=2007"
5,"MT Gallego, MJ Cano, JA Jiménez, J Guerra","Circumscription and Phylogenetic Position of Two Propagulose Species of Syntrichia (Pottiaceae, Bryophyta) Reveals Minor Realignments within the Tribe …",2022,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/11/5/626","https://scholar.google.com/scholar?cites=10692842233591179703&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 10:55:45","HTML","","","",,,,,5,2.50,1,4,2,"… only on the dorsal side or few and widely scattered laminal papillae (Figure 1I). The … in Syntrichia supports the hypothetical accommodation of Sagenotortula quitoensis within Syntrichia. …","https://www.mdpi.com/2223-7747/11/5/626","https://scholar.google.com/scholar?q=related:tyl_vFubZJQJ:scholar.google.com/&scioq=syntrichia+scattering&hl=en&as_sdt=2007"
41,"N Wu, Y Zhang, A Downing, ZT Aanderud…","Rapid adjustment of leaf angle explains how the desert moss, Syntrichia caninervis, copes with multiple resource limitations during rehydration",2013,"Functional Plant …","CSIRO Publishing","https://www.publish.csiro.au/FP/FP13054","https://scholar.google.com/scholar?cites=18417215860785002735&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 10:55:45","","","","",,,,,41,3.73,8,5,11,"… Changes in Syntrichia caninervis leaf angle after different periods of rehydration. Leaves spread more … In dry moss, there may be internal or external scattering of light whereas the more …","http://www.egi.cas.cn/xwdt/kydt_163364/202001/W020200131553456001888.pdf","https://scholar.google.com/scholar?q=related:77jHLT8Yl_8J:scholar.google.com/&scioq=syntrichia+scattering&hl=en&as_sdt=2007"
27,"L Hedenäs, J Heinrichs, M Teresa Gallego","The Scandinavian Syntrichia ruralis complex (Musci, Pottiaceae): a chaos of diversification",2019,"Plant Systematics and …","Springer","https://link.springer.com/article/10.1007/s00606-019-01596-0","https://scholar.google.com/scholar?cites=16184044716517992680&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 10:55:45","HTML","10.1007/s00606-019-01596-0","","",,,,,27,5.40,9,3,5,"… Like in other Syntrichia species, the leaf lamina consists of isodiametric or shortly elongate … , but it has also scattered inland occurrences. We sampled 174 specimens of Syntrichia in the …","https://link.springer.com/article/10.1007/s00606-019-01596-0","https://scholar.google.com/scholar?q=related:6KgXRexGmeAJ:scholar.google.com/&scioq=syntrichia+scattering&hl=en&as_sdt=2007"
3,"Ruchika, Z Csintalan, ER Péli","Seasonality and Small Spatial-Scale Variation of Chlorophyll a Fluorescence in Bryophyte Syntrichia ruralis [Hedw.] in Semi-Arid Sandy Grassland, Hungary",2020,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/9/1/92","https://scholar.google.com/scholar?cites=54414925305221988&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 10:55:45","HTML","","","",,,,,3,0.75,1,3,4,"… desiccation-tolerant ones such as Syntrichia ruralis [Hedw.] … that Tortula ruralis (=Syntrichia) are adapted and abundant in … cover found between the scattered tufts of dominant grasses (…","https://www.mdpi.com/2223-7747/9/1/92","https://scholar.google.com/scholar?q=related:ZBNMFRZSwQAJ:scholar.google.com/&scioq=syntrichia+scattering&hl=en&as_sdt=2007"
23,"F Savaroglu, I Potoglu Erkara","Observations of spore morphology of some Pottiaceae Schimp. species (Bryophyta) in Turkey",2008,"Plant Systematics and Evolution","Springer","https://link.springer.com/article/10.1007/s00606-007-0607-1","https://scholar.google.com/scholar?cites=7684203369635882161&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-15 10:55:45","","10.1007/s00606-007-0607-1","","",,,,,23,1.44,12,2,16,"… The taxonomy of the genus Syntrichia is discussed on the basis of its spore morphology. … graeffii can be found scattered sparsely over the surface of the perine, the granules (or …","https://link.springer.com/content/pdf/10.1007/s00606-007-0607-1.pdf","https://scholar.google.com/scholar?q=related:saQBhUDGo2oJ:scholar.google.com/&scioq=syntrichia+scattering&hl=en&as_sdt=2007"
48,"J Zhang, YM Zhang, A Downing, N Wu, BC Zhang","Photosynthetic and cytological recovery on remoistening Syntrichia caninervis Mitt., a desiccation-tolerant moss from Northwestern China",2011,"Photosynthetica","Springer","https://link.springer.com/article/10.1007/s11099-011-0002-6","https://scholar.google.com/scholar?cites=6993901750186355061&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 10:55:45","","10.1007/s11099-011-0002-6","","",,,,,48,3.69,10,5,13,"Syntrichia caninervis Mitt. is the dominant species in the moss crusts of the Gurbantunggut Desert, Northwestern China. We experimented with this species under controlled …","https://link.springer.com/content/pdf/10.1007/s11099-011-0002-6.pdf","https://scholar.google.com/scholar?q=related:dSnXJZZUD2EJ:scholar.google.com/&scioq=syntrichia+scattering&hl=en&as_sdt=2007"
2,"KM Kellman","Syntrichia sucrosa sp. nov.(Pottiaceae), a new species from California",2008,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-111/issue-4/0007-2745-111.4.676/span-classgenus-speciesSyntrichia-Sucrosa-span-Sp-Nov-Pottiaceae-A-New/10.1639/0007-2745-111.4.676.short","https://scholar.google.com/scholar?cites=2810889613679905562&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-15 10:55:45","","10.1639/0007-2745-111.4.676.short","","",,,,,2,0.13,2,1,16,"… of Syntrichia growing on rock and soil over rock in chaparral. … Forest, scattered among Syntrichia princeps on soil over rock … Syntrichia sucrosa is primarily differentiated by the variably …","https://www.jstor.org/stable/pdf/20485761.pdf","https://scholar.google.com/scholar?q=related:Gss5_jVJAicJ:scholar.google.com/&scioq=syntrichia+scattering&hl=en&as_sdt=2007"
11,"MT Gallego, V Hugonnot, MJ Cano","Taxonomic resurrection of an awnless variety of Syntrichia ruralis and comparison with other European muticous taxa in this genus",2018,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/03736687.2018.1468971","https://scholar.google.com/scholar?cites=3381231979591901576&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-15 10:55:45","","10.1080/03736687.2018.1468971","","",,,,,11,1.83,4,3,6,"… These plants of Syntrichia with epilose leaves were found growing with sparsely scattered individuals of Syntrichia ruralis var. ruralis, bearing fully developed hyaline hair-points, but no …","https://www.researchgate.net/profile/Vincent-Hugonnot/publication/325277049_Taxonomic_resurrection_of_an_awnless_variety_of_Syntrichia_ruralis_and_comparison_with_other_European_muticous_taxa_in_this_genus/links/5b03e45da6fdccf9e4f7c56b/Taxonomic-resurrection-of-an-awnless-variety-of-Syntrichia-ruralis-and-comparison-with-other-European-muticous-taxa-in-this-genus.pdf","https://scholar.google.com/scholar?q=related:iCHEJpKM7C4J:scholar.google.com/&scioq=syntrichia+scattering&hl=en&as_sdt=2007"
