Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
46,"M Proctor","Water-relations parameters of some bryophytes evaluated by thermocouple psychrometry",1999,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/jbr.1999.21.4.263","https://scholar.google.com/scholar?cites=11048492021637038391&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 12:14:26","","10.1179/jbr.1999.21.4.263","","",,,,,46,1.84,46,1,25,"… water potential; careful blotting of saturated material may give acceptable approximate … in such desiccation-tolerant mosses as Syntrichia ruraliformis and Racomitrium lanuginosum, but …","https://www.researchgate.net/profile/Michael-Proctor/publication/234166980_Proctor_JBryol_1999_Thermocouple_psychrometry/links/09e4150fbfa768b1d0000000/Proctor-JBryol-1999-Thermocouple-psychrometry.pdf","https://scholar.google.com/scholar?q=related:N8FpzfQgVJkJ:scholar.google.com/&scioq=syntrichia+%22water+potential%22&hl=en&as_sdt=2007"
41,"N Wu, Y Zhang, A Downing, ZT Aanderud…","Rapid adjustment of leaf angle explains how the desert moss, Syntrichia caninervis, copes with multiple resource limitations during rehydration",2013,"Functional Plant …","CSIRO Publishing","https://www.publish.csiro.au/FP/FP13054","https://scholar.google.com/scholar?cites=18417215860785002735&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 12:14:26","","","","",,,,,41,3.73,8,5,11,"Although the desert moss Syntrichia caninervis Mitt. is extremely desiccation tolerant, it still requires water and photosynthates for growth. The ecological significance of the leaf angle in …","http://www.egi.cas.cn/xwdt/kydt_163364/202001/W020200131553456001888.pdf","https://scholar.google.com/scholar?q=related:77jHLT8Yl_8J:scholar.google.com/&scioq=syntrichia+%22water+potential%22&hl=en&as_sdt=2007"
0,"Y Zhang, H Yang, L Zhuo","Comparison of desiccation tolerance of desert moss syntrichia caninervis in tissue culture and sand culture",2022,"Pak. J. Bot","mail.pakbs.org","https://mail.pakbs.org/pjbot/papers/1650352179.pdf","",3,"2024-07-15 12:14:26","PDF","","","",,,,,0,0.00,0,3,2,"Syntrichia caninervis is a stress-tolerant moss that has become an important experimental model for researches on desiccation tolerance and ecological restoration. However, its …","https://mail.pakbs.org/pjbot/papers/1650352179.pdf","https://scholar.google.com/scholar?q=related:g-caxwKFR2gJ:scholar.google.com/&scioq=syntrichia+%22water+potential%22&hl=en&as_sdt=2007"
4,"ML Slate, JC Brinda, KK Coe, JL Greenwood…","Prehydration mitigates damage accrued from prolonged periods of desiccation in cultured shoot apices of Syntrichia ruralis",2021,"Journal of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/03736687.2020.1833157","https://scholar.google.com/scholar?cites=4909637032956126931&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 12:14:26","","10.1080/03736687.2020.1833157","","",,,,,4,1.33,1,5,3,"… , blotted of visible external water (full turgor), at equilibration with 42% RH (RHeq 42%, selected to be a few points below 50%, ie below the phase change of water to gel, water potential …","https://par.nsf.gov/servlets/purl/10208236","https://scholar.google.com/scholar?q=related:0-Zzfd6IIkQJ:scholar.google.com/&scioq=syntrichia+%22water+potential%22&hl=en&as_sdt=2007"
2,"X Zhang, JTB Ekwealor, BD Mishler, AT Silva…","Syntrichia ruralis: emerging model moss genome reveals a conserved and previously unknown regulator of desiccation in flowering plants",2024,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.19620","https://scholar.google.com/scholar?cites=1973909188977868379&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 12:14:26","","10.1111/nph.19620","","",,,,,2,2.00,0,5,1,"… equilibration of the water potential of tissues to that of the surrounding air (Bewley, 1979). Desiccationtolerant plants are defined by their ability to survive tissue water potential of at least …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.19620","https://scholar.google.com/scholar?q=related:W77n-_K7ZBsJ:scholar.google.com/&scioq=syntrichia+%22water+potential%22&hl=en&as_sdt=2007"
6,"Y Mao, W Liu, X Yang, Y Chang, T Yang, X Wang…","Syntrichia caninervis adapt to mercury stress by altering submicrostructure and physiological properties in the Gurbantünggüt Desert",2022,"Scientific Reports","nature.com","https://www.nature.com/articles/s41598-022-15822-2","https://scholar.google.com/scholar?cites=9895382284827080855&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 12:14:26","HTML","","","",,,,,6,3.00,1,7,2,"… This was probably because the increase of SS content can effectively reduce the water potential of cells and prevent dehydration caused by Hg stress in the early stage of experiment or …","https://www.nature.com/articles/s41598-022-15822-2","https://scholar.google.com/scholar?q=related:l7jPk8J1U4kJ:scholar.google.com/&scioq=syntrichia+%22water+potential%22&hl=en&as_sdt=2007"
0,"TA Clark, A Russell, JL Greenwood, D Devitt, D Stanton…","Can biocrust moss hide from climate change? Multiscale habitat buffering improves summer-stress resistance in Syntrichia caninervis",2023,"bioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2023.11.06.565694.abstract","",7,"2024-07-15 12:14:26","","10.1101/2023.11.06.565694.abstract","","",,,,,0,0.00,0,6,1,"… Methods: We located three life zone populations of a keystone biocrust moss, Syntrichia caninervis, spanning 1200-m of altitude in Nevada. We selected 96 microsites stratified by life …","https://www.biorxiv.org/content/biorxiv/early/2023/11/06/2023.11.06.565694.full.pdf","https://scholar.google.com/scholar?q=related:wzKufmKqsNMJ:scholar.google.com/&scioq=syntrichia+%22water+potential%22&hl=en&as_sdt=2007"
78,"MCF Proctor","Experiments on the effect of different intensities of desiccation on bryophyte survival, using chlorophyll fluorescence as an index of recovery",2003,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/037366803235001652","https://scholar.google.com/scholar?cites=1026358156453746181&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 12:14:26","","10.1179/037366803235001652","","",,,,,78,3.71,78,1,21,"… By contrast, Syntrichia ruralis showed a dramatic increase in FM on remoistening, suggest… biased towards the high (less negative) water-potential side of the maxima of the symmetrical …","","https://scholar.google.com/scholar?q=related:BRbAL05bPg4J:scholar.google.com/&scioq=syntrichia+%22water+potential%22&hl=en&as_sdt=2007"
0,"X Li, B Gao, AJ Wood, J Buitink, D Zhang…","Desiccation tolerance in land plants: from mechanisms to evolution",2023,"Frontiers in Plant …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2023.1210946/full","",9,"2024-07-15 12:14:26","HTML","10.3389/fpls.2023.1210946","","",,,,,0,0.00,0,6,1,"… of the water potential of cellular contents to that of the surrounding air. Most plants resist water loss and have evolved strategies to maintain their cellular water potential … moss Syntrichia …","https://www.frontiersin.org/articles/10.3389/fpls.2023.1210946/full","https://scholar.google.com/scholar?q=related:7PXFKZEHVzIJ:scholar.google.com/&scioq=syntrichia+%22water+potential%22&hl=en&as_sdt=2007"
4,"Z Csintalan, K Veres, ER Péli","Seasonal variation of antioxidant enzymatic responses in the desiccation-tolerant bryophyte Syntrichia ruralis (Hedw.) Web. &Mohr.",2021,"COLUMELLA–Journal of …","journal.uni-mate.hu","https://journal.uni-mate.hu/index.php/columella/article/view/2802","https://scholar.google.com/scholar?cites=1418869919892577103&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-15 12:14:26","","","","",,,,,4,1.33,1,3,3,"Bryophytes are poikilohydric organisms that can be used as model plants to study desiccation tolerance mechanisms. The main objective of this study was to examine the activities of …","https://journal.uni-mate.hu/index.php/columella/article/download/2802/3273","https://scholar.google.com/scholar?q=related:TxuvtazWsBMJ:scholar.google.com/&scioq=syntrichia+%22water+potential%22&hl=en&as_sdt=2007"
