Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
78,"B. Fernández-Marín","Evidence for the absence of enzymatic reactions in the glassy state. A case study of xanthophyll cycle pigments in the desiccation-tolerant moss Syntrichia ruralis",2013,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84879965863&origin=inward",1,"2024-07-12 11:43:48","Article","10.1093/jxb/ert145","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/84879965863",64,10,3033,3043,78,7.09,78,1,11,"","",""
63,"M. Proctor","Experiments on the effect of different intensities of desiccation on bryophyte survival, using chlorophyll fluorescence as an index of recovery",2003,"Journal of Bryology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0142052870&origin=inward",2,"2024-07-12 11:43:48","Article","10.1179/037366803235001652","0373-6687","https://api.elsevier.com/content/abstract/scopus_id/0142052870",25,3,201,210,63,3.00,63,1,21,"","",""
61,"D.H. Barker","Evidence of drought-induced stress on biotic crust moss in the Mojave Desert",2005,"Plant, Cell and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=21244463518&origin=inward",3,"2024-07-12 11:43:48","Article","10.1111/j.1365-3040.2005.01346.x","0140-7791","https://api.elsevier.com/content/abstract/scopus_id/21244463518",28,7,939,947,61,3.21,61,1,19,"","",""
36,"B.f. Yin","Physiological regulation of Syntrichia caninervis Mitt. in different microhabitats during periods of snow in the Gurbantünggüt Desert, northwestern China",2016,"Journal of Plant Physiology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0176161716000389","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84959432634&origin=inward",4,"2024-07-12 11:43:48","Article","10.1016/j.jplph.2016.01.015","0176-1617","https://api.elsevier.com/content/abstract/scopus_id/84959432634",194,,13,22,36,4.50,36,1,8,"","",""
34,"J. Zhang","Photosynthetic and cytological recovery on remoistening Syntrichia caninervis Mitt., a desiccation-tolerant moss from Northwestern China",2011,"Photosynthetica","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79955864472&origin=inward",5,"2024-07-12 11:43:48","Article","10.1007/s11099-011-0002-6","0300-3604","https://api.elsevier.com/content/abstract/scopus_id/79955864472",49,1,13,20,34,2.62,34,1,13,"","",""
30,"Y. Zhang","Sensitivity of the xerophytic moss Syntrichia caninervis to prolonged simulated nitrogen deposition",2016,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84976508396&origin=inward",6,"2024-07-12 11:43:48","Article","10.1093/aob/mcw058","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/84976508396",117,7,1153,1161,30,3.75,30,1,8,"","",""
23,"S.j. Xu","The effects of drying following heat shock exposure of the desert moss Syntrichia caninervis",2009,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969708012679","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=60349126422&origin=inward",7,"2024-07-12 11:43:48","Article","10.1016/j.scitotenv.2008.12.005","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/60349126422",407,7,2411,2419,23,1.53,23,1,15,"","",""
22,"Y. Li","Reorganization of photosystem II is involved in the rapid photosynthetic recovery of desert moss Syntrichia caninervis upon rehydration",2010,"Journal of Plant Physiology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0176161710003536","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956895977&origin=inward",8,"2024-07-12 11:43:48","Article","10.1016/j.jplph.2010.05.028","0176-1617","https://api.elsevier.com/content/abstract/scopus_id/77956895977",167,16,1390,1397,22,1.57,22,1,14,"","",""
21,"L.R. Stark","Desiccated Syntrichia ruralis shoots regenerate after 20 years in the herbarium",2017,"Journal of Bryology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84978492628&origin=inward",9,"2024-07-12 11:43:48","Article","10.1080/03736687.2016.1176307","0373-6687","https://api.elsevier.com/content/abstract/scopus_id/84978492628",39,1,85,93,21,3.00,21,1,7,"","",""
20,"X. Liu","Functional aspects of early light‐induced protein (Elip) genes from the desiccation‐tolerant moss syntrichia caninervis",2020,"International Journal of Molecular Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079900657&origin=inward",10,"2024-07-12 11:43:48","Article","10.3390/ijms21041411","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85079900657",21,4,,,20,5.00,20,1,4,"","",""
