Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
115,"M. Bowker","Sex expression, skewed sex ratios, and microhabitat distribution in the dioecious desert moss Syntrichia caninervis (Pottiaceae)",2000,"American Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033765709&origin=inward",1,"2024-07-15 08:49:06","Article","10.2307/2656595","0002-9122","https://api.elsevier.com/content/abstract/scopus_id/0033765709",87,4,517,526,115,4.79,115,1,24,"","",""
106,"L. Stark","The cost of realized sexual reproduction: Assessing patterns of reproductive allocation and sporophyte abortion in a desert moss",2000,"American Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033666266&origin=inward",2,"2024-07-15 08:49:06","Article","10.2307/2656736","0002-9122","https://api.elsevier.com/content/abstract/scopus_id/0033666266",87,11,1599,1608,106,4.42,106,1,24,"","",""
59,"L. Stark","Sex expression, plant size, and spatial segregation of the sexes across a stress gradient in the desert moss Syntrichia caninervis",2005,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=20044387482&origin=inward",3,"2024-07-15 08:49:06","Article","10.1639/0007-2745(2005)108[0183:SEPSAS]2.0.CO;2","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/20044387482",108,2,183,193,59,3.11,59,1,19,"","",""
52,"M.J. Cano","The genus Tortula (Pottiaceae, Bryophyta) in South America",2008,"Botanical Journal of the Linnean Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=38749130442&origin=inward",4,"2024-07-15 08:49:06","Article","10.1111/j.1095-8339.2007.00739.x","0024-4074","https://api.elsevier.com/content/abstract/scopus_id/38749130442",156,2,173,220,52,3.25,52,1,16,"","",""
36,"L. Stark","Gender-specific heat-shock tolerance of hydrated leaves in the desert moss Syntrichia caninervis",2006,"Physiologia Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33645116519&origin=inward",5,"2024-07-15 08:49:06","Article","10.1111/j.1399-3054.2006.00590.x","0031-9317","https://api.elsevier.com/content/abstract/scopus_id/33645116519",126,2,187,195,36,2.00,36,1,18,"","",""
35,"S. Agnew","A Moss Flora of Iraq",1975,"Feddes Repertorium","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84982065475&origin=inward",6,"2024-07-15 08:49:06","Article","10.1002/fedr.4910860602","0014-8962","https://api.elsevier.com/content/abstract/scopus_id/84982065475",86,6,341,489,35,0.71,35,1,49,"","",""
35,"M.T. Gallego","A taxonomic study of the genus Syntrichia Brid. (Pottiaceae, Musci) in the Mediterranean Region and Macaronesia",2005,"Journal of the Hattori Botanical Laboratory","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=27144442106&origin=inward",7,"2024-07-15 08:49:06","Article","","0073-0912","https://api.elsevier.com/content/abstract/scopus_id/27144442106",,98,47,122,35,1.84,35,1,19,"","",""
29,"J.W. Bates","Occurrence of epiphytic bryophytes in a 'tetrad' transect across southern Britain. 2. Analysis and modelling of epiphyte-environment relationships",2004,"Journal of Bryology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=8344243034&origin=inward",8,"2024-07-15 08:49:06","Article","10.1179/037366804X5288","0373-6687","https://api.elsevier.com/content/abstract/scopus_id/8344243034",26,3,181,197,29,1.45,29,1,20,"","",""
24,"Y. Zheng","Morphological adaptations to drought and reproductive strategy of the moss Syntrichia caninervis in the Gurbantunggut Desert, China",2011,"Arid Land Research and Management","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79953676281&origin=inward",9,"2024-07-15 08:49:06","Article","10.1080/15324982.2011.554956","1532-4982","https://api.elsevier.com/content/abstract/scopus_id/79953676281",25,2,116,127,24,1.85,24,1,13,"","",""
21,"L.H. Rosa","Opportunistic fungi found in fairy rings are present on different moss species in the Antarctic Peninsula",2020,"Polar Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084157205&origin=inward",10,"2024-07-15 08:49:06","Article","10.1007/s00300-020-02663-w","0722-4060","https://api.elsevier.com/content/abstract/scopus_id/85084157205",43,5,587,596,21,5.25,21,1,4,"","",""
