Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
115,"M. Bowker","Sex expression, skewed sex ratios, and microhabitat distribution in the dioecious desert moss Syntrichia caninervis (Pottiaceae)",2000,"American Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033765709&origin=inward",1,"2024-07-15 09:01:36","Article","10.2307/2656595","0002-9122","https://api.elsevier.com/content/abstract/scopus_id/0033765709",87,4,517,526,115,4.79,115,1,24,"","",""
82,"R.L. Jia","Responses of biological soil crusts to sand burial in a revegetated area of the Tengger Desert, Northern China",2008,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071708002721","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=53449101771&origin=inward",2,"2024-07-15 09:01:36","Article","10.1016/j.soilbio.2008.07.029","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/53449101771",40,11,2827,2834,82,5.13,82,1,16,"","",""
44,"L. Stark","Sex expression and growth rates in natural populations of the desert soil crustal moss Syntrichia caninervis",1998,"Journal of Arid Environments","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140196398904426","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032449920&origin=inward",3,"2024-07-15 09:01:36","Article","10.1006/jare.1998.0442","0140-1963","https://api.elsevier.com/content/abstract/scopus_id/0032449920",40,4,401,416,44,1.69,44,1,26,"","",""
38,"H. Yang","Overexpression of ScALDH21 gene in cotton improves drought tolerance and growth in greenhouse and field conditions",2016,"Molecular Breeding","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84961215949&origin=inward",4,"2024-07-15 09:01:36","Article","10.1007/s11032-015-0422-2","1380-3743","https://api.elsevier.com/content/abstract/scopus_id/84961215949",36,3,,,38,4.75,38,1,8,"","",""
13,"X. Chen","Three-Dimensional Maskless Fabrication of Bionic Unidirectional Liquid Spreading Surfaces Using a Phase Spatially Shaped Femtosecond Laser",2021,"ACS Applied Materials and Interfaces","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103495477&origin=inward",5,"2024-07-15 09:01:36","Article","10.1021/acsami.0c22080","1944-8244","https://api.elsevier.com/content/abstract/scopus_id/85103495477",13,11,13781,13791,13,4.33,13,1,3,"","",""
10,"T. Ezer","Succession of epiphytic bryophytes in Cedrus libani forest on the Meydan Plateau (Aladaǧ)",2013,"Turkish Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875073556&origin=inward",6,"2024-07-15 09:01:36","Article","10.3906/bot-1201-35","1300-008X","https://api.elsevier.com/content/abstract/scopus_id/84875073556",37,2,389,397,10,0.91,10,1,11,"","",""
9,"T. Ezer","The succession, habitat affinity, and life-forms of epiphytic bryophytes in the Turkish oak (Quercus cerris) forests on Mount Musa",2009,"Ekoloji","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70350116341&origin=inward",7,"2024-07-15 09:01:36","Article","10.5053/ekoloji.2009.722","1300-1361","https://api.elsevier.com/content/abstract/scopus_id/70350116341",19,72,8,15,9,0.60,9,1,15,"","",""
4,"H. Yang","Yield comparisons between cotton variety xin nong mian 1 and its transgenic scaldh21 lines under different water deficiencies in a desert‐oasis ecotone",2021,"Agronomy","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107175083&origin=inward",8,"2024-07-15 09:01:36","Article","10.3390/agronomy11051019","2073-4395","https://api.elsevier.com/content/abstract/scopus_id/85107175083",11,5,,,4,1.33,4,1,3,"","",""
3,"E. Rajandu","Bryophyte species and communities on various roofing materials, Estonia",2021,"Folia Cryptogamica Estonica","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123723582&origin=inward",9,"2024-07-15 09:01:36","Article","10.12697/fce.2021.58.21","1406-2070","https://api.elsevier.com/content/abstract/scopus_id/85123723582",58,,213,227,3,1.00,3,1,3,"","",""
3,"Y. Zhao","Response of biological soil crust coverage to wind-blown sand burial during the succession of artificial sand-fixing vegetation in the Tengger Desert, Northern China",2017,"Shengtai Xuebao","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85030257010&origin=inward",10,"2024-07-15 09:01:36","Article","10.5846/stxb201606231227","1000-0933","https://api.elsevier.com/content/abstract/scopus_id/85030257010",37,18,6138,6148,3,0.43,3,1,7,"","",""
