Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
90,"Q. Zeng","Two early light-inducible protein (ELIP) cDNAs from the resurrection plant Tortula ruralis are differentially expressed in response to desiccation, rehydration, salinity, and high light",2002,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036011329&origin=inward",1,"2024-07-12 11:42:05","Article","10.1093/jexbot/53.371.1197","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/0036011329",53,371,1197,1205,90,4.09,90,1,22,"","",""
61,"D.H. Barker","Evidence of drought-induced stress on biotic crust moss in the Mojave Desert",2005,"Plant, Cell and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=21244463518&origin=inward",2,"2024-07-12 11:42:05","Article","10.1111/j.1365-3040.2005.01346.x","0140-7791","https://api.elsevier.com/content/abstract/scopus_id/21244463518",28,7,939,947,61,3.21,61,1,19,"","",""
59,"L. Stark","Sex expression, plant size, and spatial segregation of the sexes across a stress gradient in the desert moss Syntrichia caninervis",2005,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=20044387482&origin=inward",3,"2024-07-12 11:42:05","Article","10.1639/0007-2745(2005)108[0183:SEPSAS]2.0.CO;2","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/20044387482",108,2,183,193,59,3.11,59,1,19,"","",""
55,"L. Stark","Age and sex-specific rates of leaf regeneration in the Mojave Desert moss Syntrichia caninervis",2004,"American Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1642564321&origin=inward",4,"2024-07-12 11:42:05","Article","10.3732/ajb.91.1.1","0002-9122","https://api.elsevier.com/content/abstract/scopus_id/1642564321",91,1,1,9,55,2.75,55,1,20,"","",""
53,"S. Pfendler","Biofilm biodiversity in French and Swiss show caves using the metabarcoding approach: First data",2018,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969717327572","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85031097310&origin=inward",5,"2024-07-12 11:42:05","Article","10.1016/j.scitotenv.2017.10.054","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/85031097310",615,,1207,1217,53,8.83,53,1,6,"","",""
52,"M.J. Cano","The genus Tortula (Pottiaceae, Bryophyta) in South America",2008,"Botanical Journal of the Linnean Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=38749130442&origin=inward",6,"2024-07-12 11:42:05","Article","10.1111/j.1095-8339.2007.00739.x","0024-4074","https://api.elsevier.com/content/abstract/scopus_id/38749130442",156,2,173,220,52,3.25,52,1,16,"","",""
25,"N. Wu","Rapid adjustment of leaf angle explains how the desert moss, syntrichia caninervis, copes with multiple resource limitations during rehydration",2014,"Functional Plant Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84891822008&origin=inward",7,"2024-07-12 11:42:05","Article","10.1071/FP13054","1445-4408","https://api.elsevier.com/content/abstract/scopus_id/84891822008",41,2,168,177,25,2.50,25,1,10,"","",""
24,"Y. Zheng","Morphological adaptations to drought and reproductive strategy of the moss Syntrichia caninervis in the Gurbantunggut Desert, China",2011,"Arid Land Research and Management","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79953676281&origin=inward",8,"2024-07-12 11:42:05","Article","10.1080/15324982.2011.554956","1532-4982","https://api.elsevier.com/content/abstract/scopus_id/79953676281",25,2,116,127,24,1.85,24,1,13,"","",""
22,"Y. Li","Reorganization of photosystem II is involved in the rapid photosynthetic recovery of desert moss Syntrichia caninervis upon rehydration",2010,"Journal of Plant Physiology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0176161710003536","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956895977&origin=inward",9,"2024-07-12 11:42:05","Article","10.1016/j.jplph.2010.05.028","0176-1617","https://api.elsevier.com/content/abstract/scopus_id/77956895977",167,16,1390,1397,22,1.57,22,1,14,"","",""
20,"X. Liu","Functional aspects of early light‐induced protein (Elip) genes from the desiccation‐tolerant moss syntrichia caninervis",2020,"International Journal of Molecular Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079900657&origin=inward",10,"2024-07-12 11:42:05","Article","10.3390/ijms21041411","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85079900657",21,4,,,20,5.00,20,1,4,"","",""
15,"L. Reynolds","Short distances between extreme microhabitats do not result in ecotypes in Syntrichia caninervis",2011,"Journal of Bryology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80051778810&origin=inward",11,"2024-07-12 11:42:05","Article","10.1179/1743282011Y.0000000004","0373-6687","https://api.elsevier.com/content/abstract/scopus_id/80051778810",33,2,148,153,15,1.15,15,1,13,"","",""
14,"M.T. Gallego","Syntrichia boliviana (Pottiaceae, Bryophyta), a new species from the tropical Andes",2009,"Systematic Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=69149090660&origin=inward",12,"2024-07-12 11:42:05","Article","10.1600/036364409788606334","0363-6445","https://api.elsevier.com/content/abstract/scopus_id/69149090660",34,2,245,251,14,0.93,14,1,15,"","",""
13,"J.T.B. Ekwealor","Natural ultraviolet radiation exposure alters photosynthetic biology and improves recovery from desiccation in a desert moss",2021,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119079714&origin=inward",13,"2024-07-12 11:42:05","Article","10.1093/jxb/erab051","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/85119079714",72,11,4161,4179,13,4.33,13,1,3,"","",""
11,"T. Ye","Effects of leaf hair points on dew deposition and rainfall evaporation rates in moss crusts dominated by Syntrichia caninervis, Gurbantunggut Desert, northwestern China",2012,"Shengtai Xuebao/ Acta Ecologica Sinica","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84856787125&origin=inward",14,"2024-07-12 11:42:05","Article","10.5846/stxb201011061587","1000-0933","https://api.elsevier.com/content/abstract/scopus_id/84856787125",32,1,7,16,11,0.92,11,1,12,"","",""
10,"F. Savaroglu","Observations of spore morphology of some Pottiaceae Schimp. species (Bryophyta) in Turkey",2008,"Plant Systematics and Evolution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=41849091897&origin=inward",15,"2024-07-12 11:42:05","Article","10.1007/s00606-007-0607-1","0378-2697","https://api.elsevier.com/content/abstract/scopus_id/41849091897",271,1,93,99,10,0.63,10,1,16,"","",""
9,"R. Yang","Transcriptional profiling analysis providing insights into desiccation tolerance mechanisms of the desert moss Syntrichia caninervis",2023,"Frontiers in Plant Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85149847870&origin=inward",16,"2024-07-12 11:42:05","Article","10.3389/fpls.2023.1127541","1664-462X","https://api.elsevier.com/content/abstract/scopus_id/85149847870",14,,,,9,9.00,9,1,1,"","",""
9,"J.T.B. Ekwealor","Life under quartz: Hypolithic mosses in the Mojave Desert",2020,"PloS one","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088482777&origin=inward",17,"2024-07-12 11:42:05","Article","10.1371/journal.pone.0235928","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/85088482777",15,7,,,9,2.25,9,1,4,"","",""
9,"M.T. Gallego","A new species of Syntrichia Brid. (Pottiaceae, Bryophyta) from Chile",2007,"Journal of Bryology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35548988339&origin=inward",18,"2024-07-12 11:42:05","Article","10.1179/174328207X227456","0373-6687","https://api.elsevier.com/content/abstract/scopus_id/35548988339",29,3,183,187,9,0.53,9,1,17,"","",""
4,"Ruchika","Effect of salicylic acid pre-treatment after long-term desiccation in the moss syntrichia ruralis (HEDW.) web. and MOHR",2020,"Plants","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85093880751&origin=inward",19,"2024-07-12 11:42:05","Article","10.3390/plants9091097","2223-7747","https://api.elsevier.com/content/abstract/scopus_id/85093880751",9,9,1,11,4,1.00,4,1,4,"","",""
2,"J.T.B. Ekwealor","Transcriptomic Effects of Acute Ultraviolet Radiation Exposure on Two Syntrichia Mosses",2021,"Frontiers in Plant Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119083011&origin=inward",20,"2024-07-12 11:42:05","Article","10.3389/fpls.2021.752913","1664-462X","https://api.elsevier.com/content/abstract/scopus_id/85119083011",12,,,,2,0.67,2,1,3,"","",""
1,"F. Hurtado","Moss establishment success is determined by the interaction between propagule size and species identity",2022,"Scientific Reports","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85143181448&origin=inward",21,"2024-07-12 11:42:05","Article","10.1038/s41598-022-24354-8","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/85143181448",12,1,,,1,0.50,1,1,2,"","",""
0,"X. Liu","Functional analysis of Syntrichia caninervis early light-induced protein genes ScELIPs in response to abiotic stresses",2021,"Zhiwu Shengli Xuebao/Plant Physiology Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115230971&origin=inward",22,"2024-07-12 11:42:05","Article","10.13592/j.cnki.ppj.2021.0166","2095-1108","https://api.elsevier.com/content/abstract/scopus_id/85115230971",57,8,1679,1689,0,0.00,0,1,3,"","",""
0,"I. Erkara","Investigation of spore morphology of some pottiaceae (Schimp.) taxa (bryophyta) in Turkey",2017,"Pakistan Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85013632276&origin=inward",23,"2024-07-12 11:42:05","Article","","0556-3321","https://api.elsevier.com/content/abstract/scopus_id/85013632276",49,1,265,272,0,0.00,0,1,7,"","",""
