Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
82,"R.L. Jia","Responses of biological soil crusts to sand burial in a revegetated area of the Tengger Desert, Northern China",2008,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071708002721","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=53449101771&origin=inward",1,"2024-07-12 11:35:48","Article","10.1016/j.soilbio.2008.07.029","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/53449101771",40,11,2827,2834,82,5.13,82,1,16,"","",""
78,"B. Fernández-Marín","Evidence for the absence of enzymatic reactions in the glassy state. A case study of xanthophyll cycle pigments in the desiccation-tolerant moss Syntrichia ruralis",2013,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84879965863&origin=inward",2,"2024-07-12 11:35:48","Article","10.1093/jxb/ert145","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/84879965863",64,10,3033,3043,78,7.09,78,1,11,"","",""
64,"R. Cruz De Carvalho","Differential proteomics of dehydration and rehydration in bryophytes: Evidence towards a common desiccation tolerance mechanism",2014,"Plant, Cell and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84901836425&origin=inward",3,"2024-07-12 11:35:48","Article","10.1111/pce.12266","0140-7791","https://api.elsevier.com/content/abstract/scopus_id/84901836425",37,7,1499,1515,64,6.40,64,1,10,"","",""
25,"Y.G. Li","Moss patch size and microhabitats influence stoichiometry of moss crusts in a temperate desert, Central Asia",2019,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069522776&origin=inward",4,"2024-07-12 11:35:48","Article","10.1007/s11104-019-04191-x","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/85069522776",443,1,55,72,25,5.00,25,1,5,"","",""
23,"S.j. Xu","The effects of drying following heat shock exposure of the desert moss Syntrichia caninervis",2009,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969708012679","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=60349126422&origin=inward",5,"2024-07-12 11:35:48","Article","10.1016/j.scitotenv.2008.12.005","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/60349126422",407,7,2411,2419,23,1.53,23,1,15,"","",""
22,"Y. Li","Reorganization of photosystem II is involved in the rapid photosynthetic recovery of desert moss Syntrichia caninervis upon rehydration",2010,"Journal of Plant Physiology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0176161710003536","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956895977&origin=inward",6,"2024-07-12 11:35:48","Article","10.1016/j.jplph.2010.05.028","0176-1617","https://api.elsevier.com/content/abstract/scopus_id/77956895977",167,16,1390,1397,22,1.57,22,1,14,"","",""
20,"X. Liu","Functional aspects of early light‐induced protein (Elip) genes from the desiccation‐tolerant moss syntrichia caninervis",2020,"International Journal of Molecular Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079900657&origin=inward",7,"2024-07-12 11:35:48","Article","10.3390/ijms21041411","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85079900657",21,4,,,20,5.00,20,1,4,"","",""
18,"K. Sand-Jensen","Plant distribution patterns and adaptations in a limestone quarry on Oland",2010,"Svensk Botanisk Tidskrift","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77649110513&origin=inward",8,"2024-07-12 11:35:48","Article","","0039-646X","https://api.elsevier.com/content/abstract/scopus_id/77649110513",104,1,23,31,18,1.29,18,1,14,"","",""
13,"J.T.B. Ekwealor","Natural ultraviolet radiation exposure alters photosynthetic biology and improves recovery from desiccation in a desert moss",2021,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119079714&origin=inward",9,"2024-07-12 11:35:48","Article","10.1093/jxb/erab051","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/85119079714",72,11,4161,4179,13,4.33,13,1,3,"","",""
13,"K. Coe","Physiological ecology of desert biocrust moss following 10 years exposure to elevated CO<inf>2</inf>: Evidence for enhanced photosynthetic thermotolerance",2012,"Physiologia Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858337985&origin=inward",10,"2024-07-12 11:35:48","Article","10.1111/j.1399-3054.2012.01566.x","0031-9317","https://api.elsevier.com/content/abstract/scopus_id/84858337985",144,4,346,356,13,1.08,13,1,12,"","",""
12,"K.K. Coe","Morphological and physiological traits in relation to carbon balance in a diverse clade of dryland mosses",2019,"Plant Cell and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070102353&origin=inward",11,"2024-07-12 11:35:48","Article","10.1111/pce.13613","0140-7791","https://api.elsevier.com/content/abstract/scopus_id/85070102353",42,11,3140,3151,12,2.40,12,1,5,"","",""
11,"K.K. Coe","Physiology-based prognostic modeling of the influence of changes in precipitation on a keystone dryland plant species",2014,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84920147265&origin=inward",12,"2024-07-12 11:35:48","Article","10.1007/s00442-014-3067-7","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/84920147265",176,4,933,942,11,1.10,11,1,10,"","",""
11,"J. Royles","Interpreting bryophyte stable carbon isotope composition: Plants as temporal and spatial climate recorders",2014,"Geochemistry, Geophysics, Geosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84901365932&origin=inward",13,"2024-07-12 11:35:48","Article","10.1002/2013GC005169","1525-2027","https://api.elsevier.com/content/abstract/scopus_id/84901365932",15,4,1462,1475,11,1.10,11,1,10,"","",""
11,"J. Royles","Temporal separation between CO<inf>2</inf> assimilation and growth? Experimental and theoretical evidence from the desiccation-tolerant moss Syntrichia ruralis",2013,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84873263967&origin=inward",14,"2024-07-12 11:35:48","Article","10.1111/nph.12114","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84873263967",197,4,1152,1160,11,1.00,11,1,11,"","",""
10,"Y. Li","Shrub modulates the stoichiometry of moss and soil in desert ecosystems, China",2019,"Journal of Arid Land","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067069913&origin=inward",15,"2024-07-12 11:35:48","Article","10.1007/s40333-019-0057-y","1674-6767","https://api.elsevier.com/content/abstract/scopus_id/85067069913",11,4,579,594,10,2.00,10,1,5,"","",""
9,"R. Yang","Transcriptional profiling analysis providing insights into desiccation tolerance mechanisms of the desert moss Syntrichia caninervis",2023,"Frontiers in Plant Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85149847870&origin=inward",16,"2024-07-12 11:35:48","Article","10.3389/fpls.2023.1127541","1664-462X","https://api.elsevier.com/content/abstract/scopus_id/85149847870",14,,,,9,9.00,9,1,1,"","",""
4,"Y. Zhang","Functional Analysis of ScABI3 from Syntrichia caninervis Mitt. in Medicago sativa L.",2022,"Agronomy","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85138506166&origin=inward",17,"2024-07-12 11:35:48","Article","10.3390/agronomy12092238","2073-4395","https://api.elsevier.com/content/abstract/scopus_id/85138506166",12,9,,,4,2.00,4,1,2,"","",""
4,"H. Yang","Yield comparisons between cotton variety xin nong mian 1 and its transgenic scaldh21 lines under different water deficiencies in a desert‐oasis ecotone",2021,"Agronomy","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107175083&origin=inward",18,"2024-07-12 11:35:48","Article","10.3390/agronomy11051019","2073-4395","https://api.elsevier.com/content/abstract/scopus_id/85107175083",11,5,,,4,1.33,4,1,3,"","",""
3,"H. Yang","Transcriptome Reveals the Molecular Mechanism of the ScALDH21 Gene from the Desert Moss Syntrichia caninervis Conferring Resistance to Salt Stress in Cotton",2023,"International Journal of Molecular Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85151466899&origin=inward",19,"2024-07-12 11:35:48","Article","10.3390/ijms24065822","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85151466899",24,6,,,3,3.00,3,1,1,"","",""
2,"J. Jauregui-Lazo","The dynamics of external water conduction in the dryland moss Syntrichia",2023,"AoB PLANTS","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85162221191&origin=inward",20,"2024-07-12 11:35:48","Article","10.1093/aobpla/plad025","2041-2851","https://api.elsevier.com/content/abstract/scopus_id/85162221191",15,3,,,2,2.00,2,1,1,"","",""
2,"J.T.B. Ekwealor","Transcriptomic Effects of Acute Ultraviolet Radiation Exposure on Two Syntrichia Mosses",2021,"Frontiers in Plant Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119083011&origin=inward",21,"2024-07-12 11:35:48","Article","10.3389/fpls.2021.752913","1664-462X","https://api.elsevier.com/content/abstract/scopus_id/85119083011",12,,,,2,0.67,2,1,3,"","",""
0,"F. Lei","ScbZIP1 positively regulates desiccation tolerance of desert moss Syntrichia caninervis by ROS scavenging and photosynthesis pathways",2024,"Environmental and Experimental Botany","","https://api.elsevier.com/content/article/eid/1-s2.0-S0098847224001758","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85193528877&origin=inward",22,"2024-07-12 11:35:48","Article","10.1016/j.envexpbot.2024.105817","0098-8472","https://api.elsevier.com/content/abstract/scopus_id/85193528877",224,,,,0,0.00,0,1,1,"","",""
