Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
252,"S. Reed","Changes to dryland rainfall result in rapid moss mortality and altered soil fertility",2012,"Nature Climate Change","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84866871314&origin=inward",1,"2024-07-12 11:44:30","Article","10.1038/nclimate1596","1758-678X","https://api.elsevier.com/content/abstract/scopus_id/84866871314",2,10,752,755,252,21.00,252,1,12,"","",""
115,"M. Bowker","Sex expression, skewed sex ratios, and microhabitat distribution in the dioecious desert moss Syntrichia caninervis (Pottiaceae)",2000,"American Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033765709&origin=inward",2,"2024-07-12 11:44:30","Article","10.2307/2656595","0002-9122","https://api.elsevier.com/content/abstract/scopus_id/0033765709",87,4,517,526,115,4.79,115,1,24,"","",""
99,"K. Coe","Precipitation-driven carbon balance controls survivorship of desert biocrust mosses",2012,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84864255478&origin=inward",3,"2024-07-12 11:44:30","Article","10.1890/11-2247.1","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/84864255478",93,7,1626,1636,99,8.25,99,1,12,"","",""
94,"A. Antoninka","Production of greenhouse-grown biocrust mosses and associated cyanobacteria to rehabilitate dryland soil function",2016,"Restoration Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84966549083&origin=inward",4,"2024-07-12 11:44:30","Article","10.1111/rec.12311","1061-2971","https://api.elsevier.com/content/abstract/scopus_id/84966549083",24,3,324,335,94,11.75,94,1,8,"","",""
82,"R.L. Jia","Responses of biological soil crusts to sand burial in a revegetated area of the Tengger Desert, Northern China",2008,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071708002721","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=53449101771&origin=inward",5,"2024-07-12 11:44:30","Article","10.1016/j.soilbio.2008.07.029","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/53449101771",40,11,2827,2834,82,5.13,82,1,16,"","",""
55,"R.l. Jia","Effects of sand burial on dew deposition on moss soil crust in a revegetated area of the Tennger Desert, Northern China",2014,"Journal of Hydrology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0022169414008269","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84908679412&origin=inward",6,"2024-07-12 11:44:30","Article","10.1016/j.jhydrol.2014.10.031","0022-1694","https://api.elsevier.com/content/abstract/scopus_id/84908679412",519,,2341,2349,55,5.50,55,1,10,"","",""
54,"B. Gao","De novo assembly and characterization of the transcriptome in the desiccation-tolerant moss Syntrichia caninervis",2014,"BMC Research Notes","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84906551476&origin=inward",7,"2024-07-12 11:44:30","Article","10.1186/1756-0500-7-490","1756-0500","https://api.elsevier.com/content/abstract/scopus_id/84906551476",7,1,,,54,5.40,54,1,10,"","",""
47,"Y. Tao","Effects of leaf hair points of a desert moss on water retention and dew formation: Implications for desiccation tolerance",2012,"Journal of Plant Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84860217934&origin=inward",8,"2024-07-12 11:44:30","Article","10.1007/s10265-011-0449-3","0918-9440","https://api.elsevier.com/content/abstract/scopus_id/84860217934",125,3,351,360,47,3.92,47,1,12,"","",""
44,"L. Condon","Filling the interspace—restoring arid land mosses: source populations, organic matter, and overwintering govern success",2016,"Ecology and Evolution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84990853363&origin=inward",9,"2024-07-12 11:44:30","Article","10.1002/ece3.2448","2045-7758","https://api.elsevier.com/content/abstract/scopus_id/84990853363",6,21,7623,7632,44,5.50,44,1,8,"","",""
44,"L. Stark","Sex expression and growth rates in natural populations of the desert soil crustal moss Syntrichia caninervis",1998,"Journal of Arid Environments","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140196398904426","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032449920&origin=inward",10,"2024-07-12 11:44:30","Article","10.1006/jare.1998.0442","0140-1963","https://api.elsevier.com/content/abstract/scopus_id/0032449920",40,4,401,416,44,1.69,44,1,26,"","",""
