Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
252,"S. Reed","Changes to dryland rainfall result in rapid moss mortality and altered soil fertility",2012,"Nature Climate Change","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84866871314&origin=inward",1,"2024-07-12 11:39:51","Article","10.1038/nclimate1596","1758-678X","https://api.elsevier.com/content/abstract/scopus_id/84866871314",2,10,752,755,252,21.00,252,1,12,"","",""
94,"A. Antoninka","Production of greenhouse-grown biocrust mosses and associated cyanobacteria to rehabilitate dryland soil function",2016,"Restoration Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84966549083&origin=inward",2,"2024-07-12 11:39:51","Article","10.1111/rec.12311","1061-2971","https://api.elsevier.com/content/abstract/scopus_id/84966549083",24,3,324,335,94,11.75,94,1,8,"","",""
47,"C.V.Z. Cipro","Organic pollutants and their correlation with stable isotopes in vegetation from King George Island, Antarctica",2011,"Chemosphere","","https://api.elsevier.com/content/article/eid/1-s2.0-S0045653511008836","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84860396077&origin=inward",3,"2024-07-12 11:39:51","Article","10.1016/j.chemosphere.2011.07.047","0045-6535","https://api.elsevier.com/content/abstract/scopus_id/84860396077",85,3,393,398,47,3.62,47,1,13,"","",""
30,"Y. Zhang","Sensitivity of the xerophytic moss Syntrichia caninervis to prolonged simulated nitrogen deposition",2016,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84976508396&origin=inward",4,"2024-07-12 11:39:51","Article","10.1093/aob/mcw058","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/84976508396",117,7,1153,1161,30,3.75,30,1,8,"","",""
29,"J.W. Bates","Occurrence of epiphytic bryophytes in a 'tetrad' transect across southern Britain. 2. Analysis and modelling of epiphyte-environment relationships",2004,"Journal of Bryology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=8344243034&origin=inward",5,"2024-07-12 11:39:51","Article","10.1179/037366804X5288","0373-6687","https://api.elsevier.com/content/abstract/scopus_id/8344243034",26,3,181,197,29,1.45,29,1,20,"","",""
26,"M.A. Bowker","Rapid ex situ culture of N-fixing soil lichens and biocrusts is enhanced by complementarity",2016,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84992129556&origin=inward",6,"2024-07-12 11:39:51","Article","10.1007/s11104-016-2929-7","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/84992129556",408,1,415,428,26,3.25,26,1,8,"","",""
26,"L.R. Stark","Effects of increased summer precipitation and N deposition on Mojave Desert populations of the biological crust moss Syntrichia caninervis",2011,"Journal of Arid Environments","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140196310003538","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79951767544&origin=inward",7,"2024-07-12 11:39:51","Article","10.1016/j.jaridenv.2010.12.015","0140-1963","https://api.elsevier.com/content/abstract/scopus_id/79951767544",75,5,457,463,26,2.00,26,1,13,"","",""
25,"Y.G. Li","Moss patch size and microhabitats influence stoichiometry of moss crusts in a temperate desert, Central Asia",2019,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069522776&origin=inward",8,"2024-07-12 11:39:51","Article","10.1007/s11104-019-04191-x","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/85069522776",443,1,55,72,25,5.00,25,1,5,"","",""
20,"T. Schnoor","Soil disturbance as a grassland restoration measure - Effects on plant species composition and plant functional traits",2015,"PLoS ONE","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84928902036&origin=inward",9,"2024-07-12 11:39:51","Article","10.1371/journal.pone.0123698","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/84928902036",10,4,,,20,2.22,20,1,9,"","",""
19,"T. Wertin","Elevated CO <inf>2</inf> did not mitigate the effect of a short-term drought on biological soil crusts",2012,"Biology and Fertility of Soils","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84867673035&origin=inward",10,"2024-07-12 11:39:51","Article","10.1007/s00374-012-0673-6","0178-2762","https://api.elsevier.com/content/abstract/scopus_id/84867673035",48,7,797,805,19,1.58,19,1,12,"","",""
